profile_spec_name,mark,year
01.03.02 Прикладная математика и информатика (большие и открытые данные) (бак-т),154,2024
07.03.01 Архитектура (архитектура) (бак-т),275,2024
07.03.03 Дизайн архитектурной среды (дизайн архитектурной среды)  (бак-т),201,2024
08.03.01 Строительство (промышленное и гражданское  строительство) (бак-т),182,2024
08.03.01 Строительство (строительство и эксплуатация зданий и  сооружений) (бак-т),156,2024
"08.03.01 Строительство (технология и экономика строительных  материалов, конструкций и изделий) (бак-т)",119,2024
09.03.01 Информатика и вычислительная техника (логика и дизайн  пользовательских интерфейсов) (бак-т),171,2024
09.03.01 Информатика и вычислительная техника (программное  обеспечение средств вычислительной техники и автоматизированных систем)  (бак-т),211,2024
09.03.01 Информатика и вычислительная техника (проектирование и  разработка Web-приложений) (бак-т),193,2024
09.03.03 Прикладная информатика (разработка компьютерных игр и  AR/VR-приложений (виртуальной/дополненной реальности)) (бак-т),194,2024
09.03.03 Прикладная информатика (управление проектами разработки  бизнес-приложений для цифровой экономики) (бак-т),177,2024
11.03.04 Электроника и наноэлектроника (интернет вещей в промышленной электронике) (бак-т),158,2024
13.03.01 Теплоэнергетика и теплотехника (энергообеспечение  предприятий) (бак-т),119,2024
13.03.02 Электроэнергетика и электротехника (электропривод и  автоматика) (бак-т),126,2024
13.03.02 Электроэнергетика и электротехника (электроснабжение)  (бак-т),148,2024
"13.03.02 Электроэнергетика и электротехника, Ф, (электропривод и  автоматика) (бак-т)",145,2024
15.03.01 Машиностроение (машины и технологии обработки металлов  давлением) (бак-т),123,2024
15.03.01 Машиностроение (оборудование и технология сварочного  производства) (бак-т),125,2024
15.03.02 Технологические машины и оборудование (компьютерное  моделирование и проектирование в машиностроении) (бак-т),137,2024
15.03.06 Мехатроника и робототехника (мехатронные системы в  автоматизированном производстве) (бак-т),161,2024
18.03.01 Химическая технология (химическая технология природных  энергоносителей и углеродных материалов) (бак-т),125,2024
20.03.01 Техносферная безопасность (управление экологической и  промышленной безопасностью) (бак-т),157,2024
22.03.01 Материаловедение и технологии материалов  (материаловедение и технологии материалов (в машиностроении)) (бак-т),123,2024
22.03.02 Металлургия (информационные технологии в современных  литейных процессах) (бак-т),125,2024
22.03.02 Металлургия (металлургия черных металлов) (бак-т),130,2024
22.03.02 Металлургия (обработка металлов давлением) (бак-т),133,2024
22.03.02 Металлургия (технологии и цифровое управление  процессами производства черных металлов и сплавов) (бак-т),125,2024
"22.03.02 Металлургия, Ф, (обработка металлов и сплавов давлением  (метизное производство)) (бак-т)",139,2024
"27.03.01 Стандартизация и метрология (стандартизация, менеджмент  и контроль качества) (бак-т)",124,2024
27.03.04 Управление в технических системах (системы и средства  автоматизации технологических процессов) (бак-т),156,2024
29.03.04 Технология художественной обработки материалов  (ювелирное дело и художественная обработка природного камня) (бак-т),152,2024
"29.03.05 Конструирование изделий легкой промышленности (дизайн,  конструирование и цифровое моделирование одежды) (бак-т)",175,2024
44.03.01 Педагогическое образование (физическая культура)  (бак-т),178,2024
44.03.02 Психолого-педагогическое образование (психологическая  помощь в образовании и социальной сфере) (бак-т),163,2024
44.03.02 Психолого-педагогическое образование  (психолого-педагогическое консультирование и медиации в образовании) (бак-т),153,2024
44.03.03 Специальное (дефектологическое) образование  (дефектология) (бак-т),197,2024
44.03.05 Педагогическое образование (с двумя профилями  подготовки) (английский язык и китайский язык) (бак-т),220,2024
44.03.05 Педагогическое образование (с двумя профилями  подготовки) (дошкольное образование и дополнительное образование) (бак-т),195,2024
44.03.05 Педагогическое образование (с двумя профилями  подготовки) (информатика и экономика) (бак-т),157,2024
44.03.05 Педагогическое образование (с двумя профилями  подготовки) (история и обществознание) (бак-т),164,2024
44.03.05 Педагогическое образование (с двумя профилями  подготовки) (математика и физика) (бак-т),189,2024
44.03.05 Педагогическое образование (с двумя профилями  подготовки) (начальное образование и организация воспитательной работы)  (бак-т),161,2024
44.03.05 Педагогическое образование (с двумя профилями  подготовки) (немецкий язык и английский язык) (бак-т),206,2024
44.03.05 Педагогическое образование (с двумя профилями  подготовки) (педагогика дополнительного образования. Декоративно-прикладное  искусство и дизайн) (бак-т),163,2024
44.03.05 Педагогическое образование (с двумя профилями  подготовки) (русский язык и литература) (бак-т),163,2024
54.03.01 Дизайн (графический дизайн) (бак-т),241,2024
10.05.03 Информационная безопасность автоматизированных систем  (разработка автоматизированных систем в защищенном исполнении) (спец-т),174,2024
21.05.04 Горное дело (горные машины и оборудование) (спец-т),119,2024
21.05.04 Горное дело (маркшейдерское дело) (спец-т),143,2024
21.05.04 Горное дело (обогащение полезных ископаемых) (спец-т),137,2024
21.05.04 Горное дело (открытые горные работы) (спец-т),124,2024
21.05.04 Горное дело (подземная разработка рудных месторождений)  (спец-т),123,2024
21.05.04 Горное дело (электрификация и автоматизация горного  производства) (спец-т),123,2024
23.05.04 Эксплуатация железных дорог (промышленный транспорт)  (спец-т),123,2024
07.03.01  Архитектура (архитектура) (бак-т),239,2023
07.03.03 Дизайн архитектурной среды (дизайн архитектурной среды)  (бак-т),235,2023
08.03.01 Строительство (промышленное и гражданское  строительство) (бак-т),154,2023
08.03.01 Строительство (строительство и эксплуатация зданий и  сооружений) (бак-т),131,2023
08.03.01 Строительство (теплогазоснабжение и вентиляция) (бак-т),133,2023
08.03.01 Строительство (управление и эксплуатация объектов  жилищно-коммунального комплекса) (бак-т),127,2023
09.03.01 Информатика и вычислительная техника (логика и дизайн  пользовательских интерфейсов) (бак-т),197,2023
09.03.01 Информатика и вычислительная техника (программное  обеспечение средств вычислительной техники и автоматизированных систем)  (бак-т),231,2023
09.03.01 Информатика и вычислительная техника (проектирование и  разработка Web-приложений) (бак-т),212,2023
09.03.03 Прикладная информатика (разработка компьютерных игр и  AV/VR-приложений (виртуальной/дополненной реальности)) (бак-т),212,2023
09.03.03 Прикладная информатика (управление проектами разработки  бизнес-приложений для цифровой экономики) (бак-т),197,2023
10.05.03 Информационная безопасность автоматизированных систем  (разработка автоматизированных систем в защищенном исполнении) (спец-т),190,2023
11.03.04 Электроника и наноэлектроника (программирование и  электроника информационных систем) (бак-т),137,2023
11.03.04 Электроника и наноэлектроника (проектирование и  программирование систем Интернета вещей) (бак-т),132,2023
12.03.01 Приборостроение (приборы и методы контроля качества и  диагностики) (бак-т),128,2023
13.03.01 Теплоэнергетика и теплотехника (энергообеспечение  предприятий) (бак-т),135,2023
13.03.02 Электроэнергетика и электротехника (электропривод и  автоматика) (бак-т),130,2023
13.03.02 Электроэнергетика и электротехника (электроснабжение)  (бак-т),151,2023
"13.03.02 Электроэнергетика и электротехника, Ф, (электропривод и  автоматика) (бак-т)",141,2023
15.03.01 Машиностроение (системная инженерия в машиностроении)  (бак-т),148,2023
15.03.02 Технологические машины и оборудование (компьютерное  моделирование и проектирование в машиностроении) (бак-т),132,2023
15.03.06 Мехатроника и робототехника (мехатронные системы в  автоматизированном производстве) (бак-т),155,2023
18.03.01 Химическая технология (химическая технология природных  энергоносителей и углеродных материалов) (бак-т),142,2023
20.03.01 Техносферная безопасность (управление экологической и  промышленной безопасностью) (бак-т),164,2023
21.05.04 Горное дело (маркшейдерское дело; обогащение полезных  ископаемых; подземная разработка рудных месторождений; открытые горные  работы; горные машины и оборудование; электрификация и автоматизация горного  производства; взрывное дело) (спец-т),119,2023
22.03.01 Материаловедение и технологии материалов  (материаловедение и технологии материалов (в машиностроении)) (бак-т),125,2023
22.03.02 Металлургия (обработка металлов давлением;  информационные технологии в современных литейных процессах; металлургия  черных металлов; технологии и цифровое управление процессами производства  черных металлов и сплавов) (бак-т),132,2023
23.03.02 Наземные транспортно-технологические комплексы  (организация перевозок и управление на транспорте) (бак-т),126,2023
23.05.01 Наземные транспортно-технологические средства  (автомобильная техника в транспортных технологиях) (спец-т),142,2023
"23.05.01 Наземные транспортно-технологические средства  (подъемно-транспортные, строительные, дорожные средства и оборудование)  (спец-т)",126,2023
23.05.04 Эксплуатация железных дорог (промышленный транспорт)  (спец-т),141,2023
