profile_name,about_spec
Большие и открытые данные,"работе с программными аналогами физических устройств, т.е. с цифровыми двойниками (digital twin), позволяющими моделировать внутренние процессы, технические характеристики и поведение реальных объектов; осваивать принципы цифрового моделирования; интегрировать собственные проекты в VR- и AR-среды; изучать огромные массивы информации со сложной структурой; применять машинное обучение (на основе нейронных сетей) для предсказания событий и обнаружения неочевидных закономерностей в разных сферах."
Математическое моделирование и цифровые двойники,"строить математические модели сложных явлений в различных областях изучения реальности; разрабатывать и анализировать концептуальные и теоретические модели, решаемые с использованием современных информационно-коммуникационных технологий; владеть культурой научного исследования, в том числе с использованием современных информационно-коммуникационных технологий, методологией теоретических и экспериментальных исследований в области профессиональной деятельности."
"Моделирование физических процессов и структур, методы преподавания физики","применять инновационные методы решения исследовательских задач; анализировать научные и технические проблемы, связанные с профессио-нальной деятельностью; владеть принципами обоснования инновационных решений; оценивать структуру, свойства, возможное применение наноструктурных материалов;  современным методам преподавания физико-математических наук."
"Компьютерное моделирование физических процессов и структур, методы преподавания физики","применять инновационные методы решения исследовательских задач; анализировать научные и технические проблемы, связанные с профессио-нальной деятельностью; владеть принципами обоснования инновационных решений; оценивать структуру, свойства, возможное применение наноструктурных материалов;  современным методам преподавания физико-математических наук."
Архитектура,"разрабатывать архитектурные проекты зданий и сооружений, 3D-модели, макеты, чертежи, проектную документацию для согласования с органами экспертизы; осуществлять руководство и организационно-управленческую деятельность; проводить прикладную научно-исследовательскую работу."
Дизайн архитектурной среды,"проектировать все основные типы интерьера, экстерьера и городских пространств; понимать концепцию современного искусства, видеть и отличать стили и направления; разрабатывать 3D-модели, анимацию, чертежи, визуализацию и презентацию проектных предложений; реализовывать стратегические проекты развития городских территорий: общественно-деловых и жилых пространств."
Промышленное и гражданское строительство,"навыкам расчета элементов строительных конструкций из древесины и полимерных материалов зданий и сооружений на прочность, жесткость и устойчивость; общим принципам проектирования фундаментов; оценивать инженерно-геологические условия площадок строительства; обследовать основания и фундаменты аварийных и реконструируемых зданий; методам расчета и рационального конструирования строительных металлических конструкций и узлов, а также способам сварки, применяемым при проектировании, изготовлении и монтаже сварных строительных металлических конструкций; изучать виды строительных конструкций и частей зданий и сооружений; осваивать функциональные основы проектирования; приемам разработки объемно-планировочных решений зданий."
Строительство и эксплуатация зданий и сооружений,"навыкам расчета элементов строительных конструкций из древесины и полимерных материалов зданий и сооружений на прочность, жесткость и устойчивость; общим принципам проектирования фундаментов; оценивать инженерно-геологические условия площадок строительства; обследовать основания и фундаменты аварийных и реконструируемых зданий; методам расчета и рационального конструирования строительных металлических конструкций и узлов, а также способам сварки, применяемым при проектировании, изготовлении и монтаже сварных строительных металлических конструкций; изучать виды строительных конструкций и частей зданий и сооружений; осваивать функциональные основы проектирования; приемам разработки объемно-планировочных решений зданий."
Теплогазоснабжение и вентиляция,"навыкам расчета элементов строительных конструкций из древесины и полимерных материалов зданий и сооружений на прочность, жесткость и устойчивость; общим принципам проектирования фундаментов; оценивать инженерно-геологические условия площадок строительства; обследовать основания и фундаменты аварийных и реконструируемых зданий; методам расчета и рационального конструирования строительных металлических конструкций и узлов, а также способам сварки, применяемым при проектировании, изготовлении и монтаже сварных строительных металлических конструкций; изучать виды строительных конструкций и частей зданий и сооружений; осваивать функциональные основы проектирования; приемам разработки объемно-планировочных решений зданий."
Безопасность строительных объектов промышленного и гражданского назначения,"управлять строительством объекта промышленного и гражданского назначения; управлять проектом на всех этапах его жизненного цикла; решать научно-технические задачи в области строительства, строительной индустрии и жилищно-коммунального хозяйства на основе знания проблем отрасли и опыта их решения; использовать и разрабатывать проектную, распорядительную документацию, а также участвовать в разработке нормативных правовых актов в области строительной отрасли и жилищно-коммунального хозяйства; вести и организовывать проектно-изыскательские работы в области строительства и жилищно-коммунального хозяйства, осуществлять техническую экспертизу проектов и авторский надзор за их соблюдением; осуществлять исследования объектов и процессов в области строительства и жилищно-коммунального хозяйства; управлять организацией, осуществляющей деятельность в строительной отрасли и сфере жилищно-коммунального хозяйства, организовывать и оптимизировать ее производственную деятельность; организовывать и руководить работой команды, вырабатывая командную стратегию для достижения поставленной цели."
