code,profile_spec_name,required_vi,optional_vi
01.03.02,Прикладная математика и информатика. Профиль образовательной программы «Большие и открытые данные»,русский язык;математика,информатика;физика
07.03.01,Архитектура. Профиль образовательной программы «Архитектура»,русский язык;математика;черчение;рисунок архитектурный,Нет
07.03.03,Дизайн архитектурной среды. Профиль образовательной программы «Дизайн архитектурной среды»,русский язык;математика;черчение;рисунок архитектурный,Нет
08.03.01,Строительство. Профиль образовательной программы «Промышленное и гражданское строительство»,русский язык;математика,информатика;физика;химия
08.03.01,Строительство. Профиль образовательной программы «Строительство и эксплуатация зданий и сооружений»,русский язык;математика,информатика;физика;химия
08.03.01,Строительство. Профиль образовательной программы «Теплогазоснабжение и вентиляция»,русский язык;математика,информатика;физика;химия
09.03.01,Информатика и вычислительная техника Профиль образовательной программы «Программное обеспечение средств вычислительной техники и автоматизированных систем»,русский язык;математика,информатика;физика
09.03.01,Информатика и вычислительная техника Профиль образовательной программы «Проектирование и разработка Web-приложений»,русский язык;математика,информатика;физика
09.03.01,Информатика и вычислительная техника Профиль образовательной программы «Логика и дизайн пользовательских интерфейсов»,русский язык;математика,информатика;физика
09.03.03,Прикладная информатика. Профиль образовательной программы «Управление проектами разработки бизнес-приложений для цифровой экономики»,русский язык;математика,информатика;физика
09.03.03,Прикладная информатика. Профиль образовательной программы «Разработка компьютерных игр и AR/VR-приложений (виртуальной/дополненной реальности)»,русский язык;математика,информатика;физика
11.03.04,Электроника и наноэлектроника. Профиль образовательной программы «Интернет вещей в промышленной электронике»,русский язык;математика,информатика;физика;химия
11.03.04,Электроника и наноэлектроника. Профиль образовательной программы «Промышленная электроника информационных систем»,русский язык;математика,информатика;физика;химия
12.03.01,Приборостроение Профиль образовательной программы «Интеллектуальные системы неразрушающего контроля»,русский язык;математика,информатика;физика;химия
13.03.01,Теплоэнергетика и теплотехника. Профиль образовательной программы «Энергообеспечение предприятий»,русский язык;математика,информатика;физика;химия
13.03.02,Электроэнергетика и электротехника. Профиль образовательной программы «Электроснабжение»,русский язык;математика,информатика;физика;химия
13.03.02,Электроэнергетика и электротехника Профиль образовательной программы «Электропривод и автоматика»,русский язык;математика,информатика;физика;химия
15.03.01,Машиностроение. Профиль образовательной программы «Машины и технологии обработки металлов давлением»,русский язык;математика,информатика;физика;химия
15.03.01,Машиностроение. Профиль образовательной программы «Оборудование и технология сварочного производства»,русский язык;математика,информатика;физика;химия
15.03.02,Технологические машины и оборудование. Профиль образовательной программы «Компьютерное моделирование и проектирование в машиностроении»,русский язык;математика,информатика;физика;химия
15.03.02,Технологические машины и оборудование. Профиль образовательной программы «Металлургические машины и оборудование»,русский язык;математика,информатика;физика;химия
15.03.05,Конструкторско-технологическое обеспечение машиностроительных производств. Профиль образовательной программы «Системная инженерия машиностроительных технологий»,русский язык;математика,информатика;физика;химия
15.03.06,Мехатроника и робототехника. Профиль образовательной программы «Мехатронные системы в автоматизированном производстве»,русский язык;математика,информатика;физика;химия
18.03.01,Химическая технология. Профиль образовательной программы «Химическая технология природных энергоносителей и углеродных материалов»,русский язык;химия,математика;информатика;физика
19.03.02,Продукты питания из растительного сырья. Профиль образовательной программы «Технология и организация индустриального производства кулинарной продукции и кондитерских изделий»,русский язык;математика,биология;физика;химия
20.03.01,Техносферная безопасность. Профиль образовательной программы «Управление экологической и промышленной безопасностью»,русский язык;математика,информатика;физика;химия
22.03.01,Материаловедение и технологии материалов. Профиль образовательной программы «Материаловедение и технологии материалов (в машиностроении)»,русский язык;математика,информатика;физика;химия
22.03.02,Металлургия Профиль образовательной программы «Информационные технологии в современных литейных процессах»,русский язык;математика,информатика;физика;химия
22.03.02,Металлургия Профиль образовательной программы «Технология литейных процессов»,русский язык;математика,информатика;физика;химия
22.03.02,Металлургия Профиль образовательной программы «Металлургия черных металлов»,русский язык;математика,информатика;физика;химия
22.03.02,Металлургия Профиль образовательной программы «Технологии производства и обработки черных металлов и сплавов»,русский язык;математика,информатика;физика;химия
22.03.02,Металлургия Профиль образовательной программы «Обработка металлов давлением»,русский язык;математика,информатика;физика;химия
22.03.02,Металлургия (ФИЛИАЛ). Обработка металлов и сплавов давлением (метизное производство),русский язык;математика,информатика;физика;химия
23.03.02,Наземные транспортно-технологические комплексы. Профиль образовательной программы Транспорто-технологические машины нефтегазовй отрасли,русский язык;математика,информатика;физика;химия
23.03.03,Эксплуатация транспортно-технологических машин и комплексов. Профиль образовательной программы «Эксплуатация и сервисное обслуживание автомобильного транспорта»,русский язык;математика,информатика;физика;химия
27.03.01,"Стандартизация и метрология. Профиль образовательной программы «Стандартизация, менеджмент и контроль качества»",русский язык;математика,информатика;физика;химия
27.03.04,Управление в технических системах. Профиль образовательной программы «Системы и средства автоматизации технологических процессов»,русский язык;математика,информатика;физика;химия
29.03.03,Технология полиграфического и упаковочного производства. Профиль образовательной программы «Промышленный дизайн и принтмедиа технологии»,русский язык;математика,информатика;физика;химия
29.03.04,Технология художественной обработки материалов. Профиль образовательной программы «Предметный дизайн и технология художественной обработки материалов»,русский язык;математика,композиция
29.03.04,Технология художественной обработки материалов. Профиль образовательной программы «Ювелирное дело и художественная обработка природного камня»,русский язык;математика,композиция
29.03.05,"Конструирование изделий легкой промышленности. Профиль образовательной программы «Дизайн, конструирование и цифровое моделирование одежды»",русский язык;математика,декоративная композиция
37.03.01,Психология. Профиль образовательной программы «Практическая психология»,русский язык;биология,математика;обществознание
38.03.01,Экономика. Профиль образовательной программы «Экономика и бизнес-аналитика»,русский язык;математика,обществознание;история;география;информатика;иностранный язык
38.03.01,"Экономика. Профиль образовательной программы «Экономика, финансы и учет в бизнесе»",русский язык;математика,обществознание;история;география;информатика;иностранный язык
38.03.01,Экономика. (ФИЛИАЛ). Профиль образовательной программы «Экономика предприятий и организаций»,русский язык;математика,обществознание;история;география;информатика;иностранный язык
38.03.02,Менеджмент. Профиль образовательной программы «Управление бизнес-процессами и финансы предприятий»,русский язык;математика,обществознание;история;информатика;иностранный язык
38.03.02,Менеджмент. Профиль образовательной программы «Менеджмент организации»,русский язык;математика,обществознание;история;информатика;иностранный язык
38.03.02,Менеджмент. Профиль образовательной программы «Логистика и управление транспортными системами»,русский язык;математика,обществознание;история;информатика;иностранный язык
38.03.03,Управление персоналом. Профиль образовательной программы «Управление персоналом в организации»,русский язык;математика,обществознание;история;информатика;иностранный язык
38.03.04,Государственное и муниципальное управление. Профиль образовательной программы «Государственная и муниципальная служба»,русский язык;обществознание,математика;иностранный язык;история
39.03.01,Социология. Профиль образовательной программы «Социологические и маркетинговые исследования»,русский язык;обществознание,математика;иностранный язык;история;
39.03.02,Социальная работа Профиль образовательной программы «Технологии и практики социального развития и предпринимательства»,русский язык;обществознание,история;литература
40.03.01,Юриспруденция Профиль образовательной программы «Юриспруденция»,русский язык;обществознание,история;информатика;иностранный язык;математика
42.03.01,Реклама и связи с общественностью. Профиль образовательной программы «Коммуникации в цифровой среде»,русский язык;обществознание,история;иностранный язык;литература;информатика
42.03.02,Журналистика. Профиль образовательной программы «Конвергентная журналистика»,русский язык;литература,журналистика
43.03.02,Туризм. Профиль образовательной программы «Управление туристическим бизнесом»,русский язык;обществознание,история;география;иностранный язык
