code	profile_spec_name	mark	year
01.03.02	прикладная математика и информатика (большие и открытые данные) (бак-т)	181	2025
07.03.01	архитектура (архитектура) (бак-т)	300	2025
07.03.03	дизайн архитектурной среды (дизайн архитектурной среды) (бак-т)	255	2025
08.03.01	строительство (промышленное и гражданское строительство) (бак-т)	192	2025
08.03.01	строительство (строительство и эксплуатация зданий и сооружений) (бак-т)	172	2025
08.03.01	строительство (теплогазоснабжение и вентиляция) (бак-т)	157	2025
09.03.01	информатика и вычислительная техника (логика и дизайн пользовательских интерфейсов) (бак-т)	187	2025
09.03.01	информатика и вычислительная техника (программное обеспечение средств вычислительной техники и автоматизированных систем) (бак-т)	205	2025
09.03.01	информатика и вычислительная техника (проектирование и разработка web-приложений) (бак-т)	192	2025
09.03.03	прикладная информатика (разработка компьютерных игр и ar/vr-приложений (виртуальной/дополненной реальности)) (бак-т)	193	2025
09.03.03	прикладная информатика (управление проектами разработки бизнес-приложений для цифровой экономики) (бак-т)	192	2025
11.03.04	электроника и наноэлектроника (интернет вещей  в промышленной электронике) (бак-т)	174	2025
13.03.01	теплоэнергетика и теплотехника (энергообеспечение предприятий) (бак-т)	138	2025
13.03.02	электроэнергетика и электротехника (электропривод и автоматика) (бак-т)	158	2025
13.03.02	электроэнергетика и электротехника (электроснабжение) (бак-т)	153	2025
15.03.01	машиностроение (машины и технологии обработки металлов давлением) (бак-т)	138	2025
15.03.02	технологические машины и оборудование (компьютерное моделирование и проектирование в машиностроении) (бак-т)	162	2025
15.03.05	конструкторско-технологическое обеспечение машиностроительных производств (системная инженерия машиностроительных технологий) (бак-т)	140	2025
15.03.06	мехатроника и робототехника (мехатронные системы в автоматизированном производстве) (бак-т)	172	2025
18.03.01	химическая технология (химическая технология природных энергоносителей и углеродных материалов) (бак-т)	139	2025
20.03.01	техносферная безопасность (управление экологической и промышленной безопасностью) (бак-т)	159	2025
22.03.01	материаловедение и технологии материалов (материаловедение и технологии материалов (в машиностроении)) (бак-т)	128	2025
22.03.02	металлургия (информационные технологии в современных литейных процессах) (бак-т)	142	2025
22.03.02	металлургия (металлургия черных металлов) (бак-т)	137	2025
22.03.02	металлургия (обработка металлов давлением) (бак-т)	162	2025
22.03.02	металлургия (технологии производства и обработки черных металлов и сплавов) (бак-т)	137	2025
22.03.02	металлургия, ф, (обработка металлов и сплавов давлением (метизное производство)) (бак-т)	147	2025
27.03.01	стандартизация и метрология (стандартизация, менеджмент и контроль качества) (бак-т)	141	2025
27.03.04	управление в технических системах (системы и средства автоматизации технологических процессов) (бак-т)	171	2025
29.03.03	технология полиграфического и упаковочного производства (промышленный дизайн и принтмедиа технологии) (бак-т)	131	2025
29.03.04	технология художественной обработки материалов (предметный дизайн и технология художественной обработки материалов) (бак-т)	197	2025
39.03.02	социальная работа (технологии и практики социального развития и предпринимательства) (бак-т)	164	2025
44.03.01	педагогическое образование (физическая культура) (бак-т)	179	2025
44.03.02	психолого-педагогическое образование (психолого-педагогическое консультирование и медиации в образовании) (бак-т)	192	2025
44.03.02	психолого-педагогическое образование (психолого-педагогическое сопровождение личности в непрерывном образовании) (бак-т)	184	2025
44.03.03	специальное (дефектологическое) образование (дефектология) (бак-т)	215	2025
44.03.05	педагогическое образование (с двумя профилями подготовки) (английский язык и китайский язык) (бак-т)	177	2025
44.03.05	педагогическое образование (с двумя профилями подготовки) (дошкольное образование и дополнительное образование) (бак-т)	194	2025
44.03.05	педагогическое образование (с двумя профилями подготовки) (информатика и экономика) (бак-т)	152	2025
44.03.05	педагогическое образование (с двумя профилями подготовки) (история и обществознание) (бак-т)	181	2025
44.03.05	педагогическое образование (с двумя профилями подготовки) (математика и физика) (бак-т)	165	2025
44.03.05	педагогическое образование (с двумя профилями подготовки) (начальное образование и организация воспитательной работы) (бак-т)	166	2025
44.03.05	педагогическое образование (с двумя профилями подготовки) (немецкий язык и английский язык) (бак-т)	175	2025
44.03.05	педагогическое образование (с двумя профилями подготовки) (русский язык и литература) (бак-т)	146	2025
44.03.05	педагогическое образование (с двумя профилями подготовки) (технология и цифровое моделирование) (бак-т)	153	2025
