vi_name	min_marks	max_marks
русский язык	40	100
математика	40	100
физика	41	100
обществознание	45	100
история	40	100
информатика	46	100
иностранный язык	40	100
литература	40	100
биология	40	100
география	40	100
химия	40	100
черчение	60	100
рисунок архитектурный	60	100
композиция	60	100
рисунок	60	100
физическая культура	60	100
судейство по видам спорта	50	100
сочинение	60	100
естественные науки о человеке и ортокоммуникация	60	100
педагогика и детская психология	60	100
информатика и современные информационные технологии	60	100
прикладная математика	40	100
информационные технологии в профессиональной деятельности	46	100
основы математического анализа, логика и теория вероятностей	40	100
прикладная физика	41	100
прикладная химия	40	100
основы педагогики и психологии	45	100
основы профессиональной коммуникации	45	100
человек. анатомия. зож	45	100
человек. общество. государство	45	100
теоретические основы математики с методикой преподавания	40	100
документационное обеспечение управления	40	100
экономические и правовые основы в профессиональной деятельности	50	100
конституционное право российской федерации	40	100
правовые основы общества	40	100
иностранный язык в профессиональной коммуникации (английский)	40	100
история изобразительного искусства	60	100
медиакоммуникации	40	100
