code	spec_name	ed_form	price
01.03.02	прикладная математика и информатика	очная	156000
07.03.01	архитектура	очная	179000
07.03.03	дизайн архитектурной среды	очная	179000
08.03.01	строительство	очная	179000
09.03.01	информатика и вычислительная техника	очная	179000
09.03.03	прикладная информатика	очная	179000
11.03.04	электроника и наноэлектроника	очная	179000
13.03.01	теплоэнергетика и теплотехника	очная	179000
13.03.02	электроэнергетика и электротехника	очная	179000
15.03.01	машиностроение	очная	179000
15.03.02	технологические машины и оборудование	очная	179000
15.03.05	конструкторско-технологическое обеспечение машиностроительных производств	очная	179000
15.03.06	мехатроника и робототехника	очная	179000
18.03.01	химическая технология	очная	179000
20.03.01	техносферная безопасность	очная	179000
22.03.01	материаловедение и технологии материалов	очная	179000
22.03.02	металлургия	очная	179000
27.03.01	стандартизация и метрология	очная	179000
27.03.04	управление в технических системах	очная	179000
29.03.03	технология полиграфического и упаковочного производства	очная	179000
29.03.04	технология художественной обработки материалов	очная	179000
38.03.01	экономика	очная	156000
38.03.02	менеджмент	очная	156000
38.03.04	государственное и муниципальное управление	очная	156000
39.03.02	социальная работа	очная	156000
40.03.01	юриспруденция	очная	156000
42.03.02	журналистика	очная	156000
44.03.01	педагогическое образование	очная	156000
44.03.02	психолого-педагогическое образование	очная	156000
44.03.03	специальное (дефектологическое) образование	очная	156000
44.03.05	педагогическое образование (с двумя профилями подготовки)	очная	156000
45.03.01	филология	очная	150000
46.03.02	документоведение и архивоведение	очная	156000
49.03.01	физическая культура	очная	209500
54.03.01	дизайн	очная	299000
08.03.01	строительство	очно-заочная	85000
29.03.05	конструирование изделий легкой промышленности	очно-заочная	85000
37.03.01	психология	очно-заочная	77000
38.03.01	экономика	очно-заочная	77000
38.03.02	менеджмент	очно-заочная	77000
38.03.03	управление персоналом	очно-заочная	77000
38.03.04	государственное и муниципальное управление	очно-заочная	77000
40.03.01	юриспруденция	очно-заочная	77000
54.03.01	дизайн	очно-заочная	77000
09.03.01	информатика и вычислительная техника	заочная	77000
11.03.04	электроника и наноэлектроника	заочная	77000
12.03.01	приборостроение	заочная	77000
13.03.01	теплоэнергетика и теплотехника	заочная	77000
13.03.02	электроэнергетика и электротехника	заочная	77000
15.03.01	машиностроение	заочная	77000
15.03.02	технологические машины и оборудование	заочная	77000
15.03.05	конструкторско-технологическое обеспечение машиностроительных производств	заочная	77000
15.03.06	мехатроника и робототехника	заочная	77000
18.03.01	химическая технология	заочная	77000
19.03.02	продукты питания из растительного сырья	заочная	77000
20.03.01	техносферная безопасность	заочная	77000
22.03.02	металлургия	заочная	77000
23.03.02	наземные транспортно-технологические комплексы	заочная	77000
23.03.03	эксплуатация транспортно-технологических машин и комплексов	заочная	77000
27.03.01	стандартизация и метрология	заочная	77000
27.03.04	управление в технических системах	заочная	77000
39.03.01	социология (дот)	заочная	45000
42.03.01	реклама и связи с общественностью (дот)	заочная	45000
43.03.02	туризм	заочная	67000
44.03.01	педагогическое образование	заочная	67000
44.03.01	педагогическое образование (дот)	заочная	45000
44.03.02	психолого-педагогическое образование (дот)	заочная	45000
44.03.03	специальное (дефектологическое) образование (дот)	заочная	45000
44.03.05	педагогическое образование (с двумя профилями подготовки) (дот)	заочная	45000
45.03.01	филология (дот)	заочная	45000
46.03.02	документоведение и архивоведение (дот)	заочная	45000
49.03.01	физическая культура	заочная	77000
10.05.03	информационная безопасность автоматизированных систем	очная	170000
21.05.04	горное дело	очная	201500
23.05.04	эксплуатация железных дорог	очная	170000
37.05.02	психология служебной деятельности	очная	150000
45.05.01	перевод и переводоведение	очная	150000
21.05.04	горное дело	заочная	77000
23.05.04	эксплуатация железных дорог	заочная	77000
03.04.02	физика	очная	182000
08.04.01	строительство	очная	182000
09.04.01	информатика и вычислительная техника	очная	182000
09.04.03	прикладная информатика	очная	182000
11.04.04	электроника и наноэлектроника	очная	182000
13.04.01	теплоэнергетика и теплотехника	очная	182000
13.04.02	электроэнергетика и электротехника	очная	182000
15.04.01	машиностроение	очная	182000
15.04.02	технологические машины и оборудование	очная	182000
15.04.06	мехатроника и робототехника	очная	182000
20.04.01	техносферная безопасность	очная	182000
22.04.02	металлургия	очная	182000
23.04.01	технология транспортных процессов	очная	182000
27.04.01	стандартизация и метрология	очная	182000
27.04.04	управление в технических системах	очная	182000
29.04.04	технология художественной обработки материалов	очная	182000
38.04.01	экономика	очная	162000
38.04.02	менеджмент	очная	162000
44.04.01	педагогическое образование	очная	162000
44.04.02	психолого-педагогическое образование	очная	162000
47.04.01	философия	очная	162000
54.04.01	дизайн	очно-заочная	98500
09.04.01	информатика и вычислительная техника	заочная	98500
13.04.02	электроэнергетика и электротехника (дот)	заочная	65000
15.04.01	машиностроение	заочная	98500
20.04.01	техносферная безопасность	заочная	98500
22.04.02	металлургия	заочная	98500
38.04.01	экономика (экономика дот)	заочная	57000
38.04.02	менеджмент	заочная	86500
38.04.03	управление персоналом	заочная	86500
44.04.01	педагогическое образование	заочная	86500
44.04.01	педагогическое образование (дот)	заочная	57000
44.04.02	психолого-педагогическое образование	заочная	57000
44.04.03	специальное (дефектологическое) образование	заочная	57000
45.04.01	филология (дот)	заочная	57000
45.04.02	лингвистика (дот)	заочная	57000
46.04.01	история	заочная	57000
13.04.02	электроэнергетика и электротехника (electrik grid management (англоязычная) дот)	очная	400000
22.04.02	металлургия (advanced metallurgical engineering (англоязычная))	очная	300000
22.04.02	металлургия (инжиниринг технологий материалов)	очная	300000
22.04.02	металлургия (цифровые двойники в обработке материалов)	очная	300000
38.04.01	экономика (учётные системы и бизнес-аналитика)	очная	210000
