code	profile_spec_name	vi_name	min_marks	max_marks	vi_language	vi_form
01.04.02	прикладная математика и информатика (математическое моделирование и цифровые двойники)	прикладная математика и информатика (собеседование по профилю программы магистратуры)	40	100	русский язык	очно;дистанционные технологии
03.04.02	физика (компьютерное моделирование физических процессов и структур, методы преподавания физики)	физика и методика преподавания физики (междисциплинарный экзамен по профилю программы магистратуры)	40	100	русский язык	очно;дистанционные технологии
08.04.01	строительство (безопасность строительных объектов промышленного и гражданского назначения)	комплексная безопасность в строительстве (собеседование по профилю программы магистратуры)	40	100	русский язык	очно
08.04.01	строительство (управление пространственным развитием городов)	управление пространственным развитием городов(собеседование по профилю программы магистратуры)	40	100	русский язык	очно;дистанционные технологии
09.04.01	информатика и вычислительная техника (программное обеспечение для цифровизации предприятий и организаций)	информатика и вычислительная техника (собеседование по профилю программы магистратуры)	40	100	русский язык	очно;дистанционные технологии
11.04.04	электроника и наноэлектроника (промышленная электроника индустрии 4.0)	электроника и наноэлектроника (собеседование по профилю программы магистратуры)	40	100	русский язык	очно;дистанционные технологии
13.04.01	теплоэнергетика и теплотехника (цифровой инжиниринг объектов промышленной теплоэнергетики и энергетики теплотехнологий)	промышленная теплоэнергетика (собеседование по профилю программы магистратуры)	40	100	русский язык	очно;дистанционные технологии
13.04.02	электроэнергетика и электротехника (интеллектуальные системы электроснабжения)	интеллектуальное электроснабжение (собеседование по профилю программы магистратуры)	40	100	русский язык	очно;дистанционные технологии
13.04.02	электроэнергетика и электротехника (цифровой менеджмент в электроэнергетике)	цифровизация электроэнергетики(собеседование по профилю программы магистратуры)	40	100	русский язык	очно;дистанционные технологии
13.04.02	электроэнергетика и электротехника (современный автоматизированный электропривод в производственных и технических системах)	электропривод и автоматика(собеседование по профилю программы магистратуры)	40	100	русский язык	очно;дистанционные технологии
13.04.02	электроэнергетика и электротехника (англоязычная программа) (electric grid management)	электроэнергетика(собеседование по профилю программы магистратуры)	40	100	английский язык	очно;дистанционные технологии
15.04.01	машиностроение (машины и технологии обработки металлов давлением)	машиностроение (междисциплинарный экзамен по профилю программы магистратуры)	40	100	русский язык	очно;дистанционные технологии
15.04.02	технологические машины и оборудование (инжиниринг в металлургическом машиностроении)	технологические машины и оборудование (междисциплинарный экзамен по профилю программы магистратуры)	40	100	русский язык	очно;дистанционные технологии
15.04.05	конструкторско-технологическое обеспечение машиностроительных производств (технология современных обрабатывающих комплексов)	конструкторско-технологическое обеспечение машиностроительных производств(междисциплинарный экзамен по профилю программы магистратуры)	40	100	русский язык	очно;дистанционные технологии
15.04.06	мехатроника и робототехника (искусственный интеллект в робототехнике)	мехатроника и робототехника (собеседование по профилю программы магистратуры)	40	100	русский язык	очно;дистанционные технологии
20.04.01	техносферная безопасность (цифровые решения в экологической и промышленной безопасности)	техносферная безопасность и экология(собеседование по профилю программы магистратуры)	40	100	русский язык	очно;дистанционные технологии
22.04.02	металлургия (искусственный интеллект в металлургии)	управление процессами в литейных технологиях(междисциплинарный экзамен по профилю программы магистратуры)	40	100	русский язык	очно;дистанционные технологии
