code	profile_spec_name	lvl	link	FormEd	Plan_Budg	Plan_Comm	Years	Months
01.03.02	прикладная математика и информатика	бакалавриат	https://abit.magtu.ru/01-03-02-prikladnaya-matematika-i-informatika	очная	25	10	none	none
01.04.02	прикладная математика и информатика	магистратура	https://abit.magtu.ru/01-04-02-prikladnaya-matematika-i-informatika	очная	15	5	none	none
03.04.02	физика	магистратура	https://abit.magtu.ru/03-04-02-fizika	очная	15	5	none	none
07.03.01	архитектура	бакалавриат	https://abit.magtu.ru/07-03-01-arhitektura	очная	32	6	none	none
08.03.01	строительство	бакалавриат	https://abit.magtu.ru/08-03-01-stroitelstvo	очная	75	25	none	none
08.03.01	строительство	бакалавриат	https://abit.magtu.ru/08-03-01-stroitelstvo	очно-заочная	0	25	none	none
08.04.01	строительство	магистратура	https://abit.magtu.ru/08-04-01-stroitelstvo	очная	16	5	none	none
08.04.01	строительство	магистратура	https://abit.magtu.ru/08-04-01-stroitelstvo	очно-заочная	0	15	none	none
09.03.01	информатика и вычислительная техника	бакалавриат	https://abit.magtu.ru/09-03-01-informatika-i-vychislitelnaya-tehnika	заочная	0	40	none	none
09.03.01	информатика и вычислительная техника	бакалавриат	https://abit.magtu.ru/09-03-01-informatika-i-vychislitelnaya-tehnika	очная	75	25	none	none
09.03.03	прикладная информатика	бакалавриат	https://abit.magtu.ru/09-03-03-prikladnaya-informatika	очная	50	15	none	none
09.04.01	информатика и вычислительная техника	магистратура	https://abit.magtu.ru/09-04-01-informatika-i-vychislitelnaya-tehnika	очная	0	15	none	none
10.05.03	информационная безопасность автоматизированных систем	специалитет	https://abit.magtu.ru/10-05-03-informacionnaya-bezopasnost-avtomatizirovannyh-sistem	очная	50	10	none	none
11.03.04	электроника и наноэлектроника	бакалавриат	https://abit.magtu.ru/11-03-04-elektronika-i-nanoelektronika	очная	27	10	none	none
11.04.04	электроника и наноэлектроника	магистратура	https://abit.magtu.ru/11-04-04-elektronika-i-nanoelektronika	очная	15	10	none	none
12.03.01	приборостроение	бакалавриат	https://abit.magtu.ru/12-03-01-priborostroenie	очная	0	25	none	none
13.03.01	теплоэнергетика и теплотехника	бакалавриат	https://abit.magtu.ru/13-03-01-teploenergetika-i-teplotehnika	очная	25	10	none	none
13.03.02	электроэнергетика и электротехника	бакалавриат	https://abit.magtu.ru/13-03-02-elektroenergetika-i-elektrotehnika	заочная	10	70	none	none
13.03.02	электроэнергетика и электротехника	бакалавриат	https://abit.magtu.ru/13-03-02-elektroenergetika-i-elektrotehnika	очная	0	5	none	none
