profile	vo_spec	spo_spec
социально-экономический профиль	37.03.01 психология	38.02.01 экономика и бухгалтерский учет (по отраслям)
социально-экономический профиль	37.03.01 психология	38.02.03 операционная деятельность в логистике
социально-экономический профиль	37.03.01 психология	38.02.06 финансы
социально-экономический профиль	37.03.01 психология	38.02.07 банковское дело
социально-экономический профиль	37.03.01 психология	38.02.08 торговое дело
социально-экономический профиль	37.03.01 психология	38.02.02 страховое дело (по отраслям)
социально-экономический профиль	37.03.01 психология	38.02.09 конгрессно-выставочная деятельность
социально-экономический профиль	37.03.01 психология	39.02.01 социальная работа
социально-экономический профиль	37.03.01 психология	39.02.02 сурдокоммуникация
социально-экономический профиль	37.03.01 психология	39.02.03обеспечение деятельности службы занятости населения
социально-экономический профиль	37.03.01 психология	40.02.02 правоохранительная деятельность
социально-экономический профиль	37.03.01 психология	40.02.04 юриспруденция
социально-экономический профиль	37.03.01 психология	44.02.06 профессиональное обучение (по отраслям)
социально-экономический профиль	37.03.01 психология	46.02.01 документационное обеспечение управления и архивоведение
социально-экономический профиль	37.03.01 психология	46.02.02 обеспечение технологического сопровождения цифровой трансформации документированных сфер деятельности
социально-экономический профиль	38.03.01 экономика	38.02.01 экономика и бухгалтерский учет (по отраслям)
социально-экономический профиль	38.03.01 экономика	38.02.03 операционная деятельность в логистике
социально-экономический профиль	38.03.01 экономика	38.02.06 финансы
социально-экономический профиль	38.03.01 экономика	38.02.07 банковское дело
социально-экономический профиль	38.03.01 экономика	38.02.08 торговое дело
социально-экономический профиль	38.03.01 экономика	38.02.02 страховое дело (по отраслям)
социально-экономический профиль	38.03.01 экономика	38.02.09 конгрессно-выставочная деятельность
социально-экономический профиль	38.03.01 экономика	39.02.01 социальная работа
социально-экономический профиль	38.03.01 экономика	39.02.02 сурдокоммуникация
социально-экономический профиль	38.03.01 экономика	39.02.03обеспечение деятельности службы занятости населения
социально-экономический профиль	38.03.01 экономика	40.02.02 правоохранительная деятельность
социально-экономический профиль	38.03.01 экономика	40.02.04 юриспруденция
социально-экономический профиль	38.03.01 экономика	44.02.06 профессиональное обучение (по отраслям)
социально-экономический профиль	38.03.01 экономика	46.02.01 документационное обеспечение управления и архивоведение
социально-экономический профиль	38.03.01 экономика	46.02.02 обеспечение технологического сопровождения цифровой трансформации документированных сфер деятельности
социально-экономический профиль	38.03.02 менеджмент	38.02.01 экономика и бухгалтерский учет (по отраслям)
социально-экономический профиль	38.03.02 менеджмент	38.02.03 операционная деятельность в логистике
социально-экономический профиль	38.03.02 менеджмент	38.02.06 финансы
социально-экономический профиль	38.03.02 менеджмент	38.02.07 банковское дело
социально-экономический профиль	38.03.02 менеджмент	38.02.08 торговое дело
социально-экономический профиль	38.03.02 менеджмент	38.02.02 страховое дело (по отраслям)
социально-экономический профиль	38.03.02 менеджмент	38.02.09 конгрессно-выставочная деятельность
социально-экономический профиль	38.03.02 менеджмент	39.02.01 социальная работа
социально-экономический профиль	38.03.02 менеджмент	39.02.02 сурдокоммуникация
социально-экономический профиль	38.03.02 менеджмент	39.02.03обеспечение деятельности службы занятости населения
социально-экономический профиль	38.03.02 менеджмент	40.02.02 правоохранительная деятельность
социально-экономический профиль	38.03.02 менеджмент	40.02.04 юриспруденция
социально-экономический профиль	38.03.02 менеджмент	44.02.06 профессиональное обучение (по отраслям)
социально-экономический профиль	38.03.02 менеджмент	46.02.01 документационное обеспечение управления и архивоведение
социально-экономический профиль	38.03.02 менеджмент	46.02.02 обеспечение технологического сопровождения цифровой трансформации документированных сфер деятельности
